SlNo,Name,CustID,Number of Credit Cards,Age,Gender,MaritalStatus,AnnualSalary,MonthlyCCUsage
221,Brandon,164711,5,35,M,Married,"4,35,076",Low (<25%)
222,Jaqueline,165322,4,49,M,Married,"1,83,295",Low (<25%)
223,Brody,166121,2,42,M,Married,"6,36,093",Low (<25%)
224,Jay,166191,6,28,M,Never Married,"9,04,490",Low (<25%)
225,Conner,167456,3,44,M,Never Married,"1,30,147",Low (<25%)
226,Hamza,167830,8,37,M,Divorced,"9,45,125",Low (<25%)
227,Deja,169415,5,68,F,Married,"7,22,841",Low (<25%)
228,Gracie,169481,1,37,F,Married,"5,06,566",Low (<25%)
229,Elise,170264,3,65,F,Never Married,"5,90,226",Low (<25%)
230,Eden,171111,3,45,M,Never Married,"1,18,990",Low (<25%)
231,Harrison,171319,1,69,F,Married,"6,97,139",Low (<25%)
232,Heath,171640,7,60,M,Married,"1,50,474",Low (<25%)
233,Cristopher,171853,2,51,M,Married,"1,38,587",Low (<25%)
234,Albert,171972,8,64,M,Married,"8,04,379",Low (<25%)
235,Belen,172474,5,56,F,Married,"9,58,292",Low (<25%)
236,Jovany,172481,9,47,M,Never Married,"2,50,135",Low (<25%)
237,Hanna,173417,5,60,M,Married,"9,77,389",Low (<25%)
238,Arturo,173480,9,50,F,Never Married,"7,80,534",Low (<25%)
239,Carrie,173761,4,69,F,Married,"2,75,763",Low (<25%)
240,Demetrius,174212,4,44,M,Married,"8,79,908",Low (<25%)
241,Aldo,174223,4,24,M,Never Married,"1,27,073",Low (<25%)
242,Brionna,174923,2,19,M,Divorced,"1,28,452",Low (<25%)
243,Emilie,175046,5,68,M,Never Married,"8,82,182",Low (<25%)
244,Braeden,175221,4,44,F,Married,"8,39,127",Low (<25%)
245,Alaina,175516,6,41,M,Married,"9,68,841",Low (<25%)
246,Carolyn,175524,9,21,M,Never Married,"9,76,236",Low (<25%)
247,Devante,175546,5,32,F,Married,"5,73,998",Low (<25%)
248,Cyrus,175660,4,45,M,Divorced,"3,29,592",Low (<25%)
249,Brycen,175799,6,70,M,Divorced,"1,49,818",Low (<25%)
250,Clarence,175811,4,26,F,Divorced,"1,00,481",Low (<25%)
251,Dashawn,176004,5,40,M,Married,"2,27,155",Low (<25%)
252,Harry,176156,5,43,M,Married,"6,48,295",Low (<25%)
253,Aisha,176269,8,61,M,Divorced,"3,00,139",Low (<25%)
254,Daniella,176486,4,68,M,Married,"5,59,700",Low (<25%)
255,Deven,176532,3,52,M,Married,"4,21,379",Low (<25%)
256,Efren,177539,2,44,M,Married,"5,37,242",Low (<25%)
257,Alina,177574,2,29,M,Never Married,"1,46,136",Low (<25%)
258,Joshua,177657,6,28,F,Married,"5,30,405",Low (<25%)
259,Jacoby,177799,5,42,M,Married,"1,41,800",Low (<25%)
260,Clifford,177809,3,49,M,Never Married,"9,12,840",Low (<25%)
261,Adriel,178099,8,32,M,Married,"1,86,916",Low (<25%)
262,Francisco,178304,3,65,F,Married,"1,46,526",Low (<25%)
263,Irene,178413,5,47,M,Married,"1,11,953",Low (<25%)
264,Destin,179067,3,37,F,Married,"2,72,429",Low (<25%)
265,Julian,179187,5,46,M,Married,"5,18,499",Low (<25%)
266,Jonatan,179252,7,48,F,Divorced,"2,05,513",Low (<25%)
267,Ben,179256,2,25,F,Divorced,"8,05,087",Low (<25%)
268,Gunnar,179316,5,30,F,Married,"7,29,216",Low (<25%)
269,Eddie,179718,2,58,F,Never Married,"1,45,826",Low (<25%)
270,Brianne,179984,3,58,F,Married,"2,44,684",Low (<25%)
271,Bianca,180446,6,53,M,Divorced,"3,75,253",Low (<25%)
272,Isaak,180526,3,43,F,Married,"8,77,199",Low (<25%)
273,Alejandro,180789,3,56,M,Married,"7,42,475",Low (<25%)
274,Elaine,181431,2,45,M,Married,"8,93,298",Low (<25%)
275,Cooper,181520,6,55,M,Married,"4,24,430",Low (<25%)
276,Bailey,181960,5,26,F,Divorced,"1,88,893",Low (<25%)
277,Guadalupe,181988,5,44,M,Married,"3,57,535",Low (<25%)
278,Alisa,182191,3,44,M,Married,"1,01,989",Low (<25%)
279,Joslyn,182192,4,67,F,Married,"3,00,406",Low (<25%)
280,Halie,182394,9,22,M,Married,"7,25,508",Low (<25%)
281,Alessandro,182618,5,44,M,Married,"5,56,680",Low (<25%)
282,Catalina,182831,5,44,M,Married,"2,36,721",Low (<25%)
283,Destini,183055,7,35,F,Married,"6,68,095",Low (<25%)
284,Caitlin,183132,6,18,M,Married,"6,32,678",Low (<25%)
285,Issac,183436,5,54,M,Never Married,"8,60,049",Low (<25%)
286,Gustavo,184118,5,69,M,Never Married,"9,58,867",Low (<25%)
287,Dianna,184454,5,33,F,Never Married,"7,39,597",Low (<25%)
288,Eli,184510,7,55,M,Married,"8,39,344",Low (<25%)
289,Jewel,184698,5,46,M,Divorced,"8,99,147",Low (<25%)
290,Hadley,185010,5,19,M,Married,"7,02,914",Low (<25%)
291,Edgardo,185263,6,55,M,Married,"8,57,509",Low (<25%)
292,Ahmed,185896,1,64,M,Divorced,"6,04,926",Low (<25%)
293,Gabrielle,186294,2,33,M,Married,"3,33,406",Low (<25%)
294,Carlo,186851,4,52,M,Divorced,"3,39,978",Low (<25%)
295,Hanna,187018,6,29,M,Never Married,"8,76,387",Low (<25%)
296,Jaden,187658,8,50,F,Married,"9,92,310",Low (<25%)
297,Damian,187870,4,39,M,Never Married,"3,38,963",Low (<25%)
298,Eliezer,187948,3,22,F,Married,"2,84,822",Low (<25%)
299,Darrin,187979,6,52,F,Divorced,"6,79,649",Low (<25%)
300,Garret,188205,2,64,M,Never Married,"1,44,471",Low (<25%)
301,Adrien,188372,4,46,M,Married,"3,99,374",Low (<25%)
302,Justice,188791,3,45,M,Never Married,"6,39,183",Low (<25%)
303,Destin,188891,5,41,M,Married,"7,96,620",Low (<25%)
304,Cora,188898,3,23,M,Never Married,"4,33,724",Low (<25%)
305,Diego,188971,1,49,F,Divorced,"4,07,330",Low (<25%)
306,Carson,189156,8,22,M,Never Married,"7,31,754",Low (<25%)
307,Braydon,189277,2,21,F,Never Married,"3,81,360",Low (<25%)
308,Allen,189588,6,22,F,Married,"5,93,833",Low (<25%)
309,Alejandra,190051,3,36,F,Married,"9,76,207",Low (<25%)
310,Alijah,190624,10,19,M,Married,"1,24,775",Low (<25%)
311,Brooklynn,190727,4,56,M,Married,"2,08,188",Low (<25%)
312,Bo,191125,4,60,M,Married,"3,11,288",Low (<25%)
313,Frida,191711,4,50,F,Never Married,"9,35,789",Low (<25%)
314,Isabelle,191855,4,63,F,Married,"3,39,078",Low (<25%)
315,Elyse,192369,5,70,M,Married,"8,25,012",Low (<25%)
316,Jase,192955,6,66,F,Never Married,"5,24,301",Low (<25%)
317,Bilal,192962,2,25,F,Never Married,"6,95,350",Low (<25%)
318,Carol,193257,2,54,M,Married,"8,94,805",Low (<25%)
319,Graham,193416,3,67,M,Married,"9,34,062",Low (<25%)
320,Antwan,193567,10,59,M,Married,"8,38,980",Low (<25%)
321,Darien,193696,7,34,M,Married,"7,87,639",Low (<25%)
322,Gianni,193761,4,41,M,Married,"6,21,220",Low (<25%)
323,Bobby,194161,3,64,M,Never Married,"7,44,811",Low (<25%)
324,Braeden,194379,7,65,M,Married,"6,05,216",Low (<25%)
325,Jaylin,194672,5,41,F,Married,"8,14,318",Low (<25%)
326,Dimitri,195076,4,61,M,Never Married,"79,080",Low (<25%)
327,Anderson,195278,6,24,M,Never Married,"5,02,459",Low (<25%)
328,Jermaine,195292,3,40,M,Married,"7,51,951",Low (<25%)
329,Courtney,196070,3,60,F,Never Married,"7,02,926",Low (<25%)
330,Alayna,196165,10,31,M,Married,"4,34,662",Low (<25%)
331,Brendon,196280,4,31,M,Married,"4,38,517",Low (<25%)
332,Humberto,196335,3,34,F,Never Married,"6,41,044",Low (<25%)
333,Darrion,196341,4,25,M,Married,"6,96,674",Low (<25%)
334,Hassan,196579,4,68,M,Divorced,"2,01,947",Low (<25%)
335,Andre,197200,3,40,F,Divorced,"9,80,848",Low (<25%)
336,Blaise,197285,4,29,F,Never Married,"1,65,645",Low (<25%)
337,Blaine,197535,10,21,M,Divorced,"5,62,590",Low (<25%)
338,Cecelia,197574,8,64,F,Married,"9,73,226",Low (<25%)
339,Bryanna,197964,4,19,F,Never Married,"2,96,820",Low (<25%)
340,Aaron,197975,4,38,M,Married,"5,91,223",Low (<25%)
341,Dominique,198737,4,28,M,Married,"2,21,970",Low (<25%)
342,Jenifer,198829,2,20,M,Divorced,"6,74,635",Low (<25%)
343,Felix,198901,5,57,M,Married,"8,84,888",Low (<25%)
344,Celia,199123,2,50,F,Never Married,"5,63,774",Low (<25%)
345,Chance,199363,4,68,M,Married,"5,99,357",Low (<25%)
346,Elissa,200065,3,62,F,Married,"3,12,941",Low (<25%)
347,Angelo,200244,6,62,F,Married,"2,97,325",Low (<25%)
348,Charity,200645,5,23,M,Married,"9,14,119",Low (<25%)
349,Julio,201001,3,29,M,Married,"3,65,711",Low (<25%)
350,Joaquin,201191,2,62,F,Divorced,"1,64,732",Low (<25%)
351,Jaqueline,201422,8,48,F,Never Married,"7,60,359",Low (<25%)
352,Galilea,201541,3,42,M,Married,"5,05,436",Low (<25%)
353,Adonis,201971,7,69,F,Divorced,"1,60,573",Low (<25%)
354,Hallie,202169,5,47,M,Married,"1,29,217",Low (<25%)
355,Holden,202593,4,37,M,Married,"9,77,014",Low (<25%)
356,Alexandra,202596,5,66,M,Never Married,"4,02,331",Low (<25%)
357,Henry,202786,4,30,M,Never Married,"4,79,602",Low (<25%)
358,Jarod,202856,5,20,F,Married,"7,66,520",Low (<25%)
359,Dominick,202863,8,57,F,Never Married,"6,35,973",Low (<25%)
360,Devon,202935,5,56,M,Married,"9,00,761",Low (<25%)
361,Anton,203022,2,66,F,Married,"3,97,385",Low (<25%)
362,Cruz,203094,5,62,M,Married,"3,72,615",Low (<25%)
363,Colin,203528,2,25,M,Divorced,"6,54,796",Low (<25%)
364,Charlotte,204097,2,67,M,Married,"2,86,532",Low (<25%)
365,Claire,204579,4,52,F,Never Married,"83,063",Low (<25%)
366,Johana,205304,1,19,M,Married,"8,86,063",Low (<25%)
367,Elvis,205695,5,43,M,Divorced,"50,362",Low (<25%)
368,Alfred,205741,4,48,F,Divorced,"3,69,783",Low (<25%)
369,James,206794,3,29,F,Married,"2,85,628",Low (<25%)
370,Deon,206854,5,52,M,Married,"9,36,054",Low (<25%)
371,Emma,207066,4,52,F,Married,"1,41,246",Low (<25%)
372,Clinton,207318,3,26,M,Married,"2,63,800",Low (<25%)
373,Bobby,207584,1,55,M,Married,"5,48,154",Low (<25%)
374,Brenden,207819,5,49,M,Married,"8,43,294",Low (<25%)
375,Deangelo,208419,5,50,F,Married,"8,69,196",Low (<25%)
376,Cristal,208518,8,41,M,Never Married,"9,33,528",Low (<25%)
377,Alfredo,209123,5,65,M,Married,"6,36,646",Low (<25%)
378,Jamil,209193,6,18,M,Never Married,"7,35,223",Low (<25%)
379,Angel,209291,9,35,M,Divorced,"3,95,853",Low (<25%)
380,Jazmyne,209737,3,23,F,Married,"9,30,897",Low (<25%)
381,Jakob,209834,4,52,M,Married,"3,80,362",Low (<25%)
382,Derrick,209900,5,49,M,Divorced,"5,30,780",Low (<25%)
383,Camden,210204,8,52,M,Married,"5,38,319",Low (<25%)
384,Daisy,210912,3,46,F,Married,"8,08,094",Low (<25%)
385,Alexandrea,211523,4,36,M,Married,"3,52,872",Low (<25%)
386,Isabella,211755,4,57,M,Married,"6,82,598",Low (<25%)
387,Alanis,212488,7,18,M,Never Married,"3,07,664",Low (<25%)
388,Giana,212645,8,49,F,Married,"2,05,651",Low (<25%)
389,Jaylin,212746,3,56,M,Married,"6,14,009",Low (<25%)
390,Darrion,213160,3,65,M,Married,"9,97,728",Low (<25%)
391,Blake,213412,6,56,M,Married,"6,57,180",Low (<25%)
392,Jorge,213438,4,41,M,Never Married,"1,75,504",Low (<25%)
393,Abril,213828,5,33,M,Married,"9,96,037",Low (<25%)
394,Darian,214027,1,55,M,Married,"6,81,477",Low (<25%)
395,Brady,214104,5,47,M,Never Married,"1,29,689",Low (<25%)
396,Isabela,214509,7,54,F,Divorced,"8,60,634",Low (<25%)
397,Efrain,214667,6,54,M,Married,"3,19,643",Low (<25%)
398,Gian,215056,5,24,M,Married,"5,41,467",Low (<25%)
399,Brandi,215429,7,57,F,Divorced,"3,21,537",Low (<25%)
